block_id,tier,escalation_score,rules_triggered,issue_potential,miss_risk,review_recommended,review_reasons,risk,size_kb,page,findings_count,kv_count,summary_len,analysis_present
4UTW-PPGP-VEN,tier1_mandatory_second_pass,27,"['findings_present', 'risk_heavy', 'issue_potential_high', 'review_recommended']",high,low,True,"['finding_present', 'high_structural_risk', 'dense_graphics_or_text']",heavy,1109.0,7,2,26,439,True
4WTD-JFKA-JLE,tier1_mandatory_second_pass,27,"['findings_present', 'risk_heavy', 'issue_potential_high', 'review_recommended']",high,low,True,"['finding_present', 'high_structural_risk', 'dense_graphics_or_text']",heavy,1740.7,10,3,128,296,True
4JYF-HEKU-VVV,tier1_mandatory_second_pass,26,"['risk_heavy', 'issue_potential_medium', 'miss_risk_high', 'review_recommended', 'possible_missed_issue', 'engineeringly_critical_block']",medium,high,True,"['high_structural_risk', 'possible_missed_issue', 'engineeringly_critical_block']",heavy,90.8,10,0,18,186,True
RELE-MX3A-MEN,tier1_mandatory_second_pass,26,"['risk_heavy', 'issue_potential_medium', 'miss_risk_high', 'review_recommended', 'possible_missed_issue', 'engineeringly_critical_block']",medium,high,True,"['high_structural_risk', 'dense_graphics_or_text', 'possible_missed_issue', 'engineeringly_critical_block']",heavy,2063.8,11,0,56,776,True
46LP-7CN7-GG6,tier1_mandatory_second_pass,26,"['risk_heavy', 'issue_potential_medium', 'miss_risk_high', 'review_recommended', 'possible_missed_issue', 'engineeringly_critical_block']",medium,high,True,"['high_structural_risk', 'possible_missed_issue', 'engineeringly_critical_block']",heavy,82.8,13,0,38,289,True
6DRC-7KQL-9TJ,tier1_mandatory_second_pass,25,"['findings_present', 'risk_heavy', 'issue_potential_medium', 'review_recommended']",medium,low,True,"['finding_present', 'high_structural_risk', 'dense_graphics_or_text']",heavy,949.5,8,1,30,360,True
4MQJ-6NXP-4YH,tier1_mandatory_second_pass,19,"['findings_present', 'issue_potential_high', 'review_recommended']",high,low,True,['finding_present'],normal,40.6,12,3,17,196,True
7NAU-TNME-3AR,tier1_mandatory_second_pass,19,"['findings_present', 'issue_potential_high', 'review_recommended']",high,low,True,['finding_present'],light,43.1,12,2,11,112,True
9GNP-D7CE-RYM,tier1_mandatory_second_pass,9,"['issue_potential_medium', 'review_recommended', 'engineeringly_critical_block']",medium,low,True,['engineeringly_critical_block'],normal,27.3,8,0,11,94,True
43L7-P9UL-VYD,tier1_mandatory_second_pass,9,"['issue_potential_medium', 'review_recommended', 'engineeringly_critical_block']",medium,low,True,['engineeringly_critical_block'],normal,55.4,10,0,51,358,True
DTGF-MYHX-PPD,tier1_mandatory_second_pass,9,"['issue_potential_medium', 'review_recommended', 'engineeringly_critical_block']",medium,low,True,['engineeringly_critical_block'],normal,69.5,12,0,18,151,True
9LPD-VX9H-YHK,tier1_mandatory_second_pass,9,"['issue_potential_medium', 'review_recommended', 'engineeringly_critical_block']",medium,low,True,['engineeringly_critical_block'],normal,55.4,12,0,13,188,True
TULW-YCYU-YVQ,tier1_mandatory_second_pass,9,"['issue_potential_medium', 'review_recommended', 'engineeringly_critical_block']",medium,low,True,['engineeringly_critical_block'],normal,66.1,13,0,76,379,True
VGGJ-3ULF-TLV,tier1_mandatory_second_pass,7,"['issue_potential_medium', 'review_recommended']",medium,low,True,[],normal,9.8,7,0,5,110,True
7QUU-QDA4-N7D,tier1_mandatory_second_pass,7,"['issue_potential_medium', 'review_recommended']",medium,low,True,[],normal,28.4,12,0,11,247,True
