"id","discipline","item_name","current_section","current_severity","current_applies","current_problem_class","current_norm_reference","normative_status","applicable_document_types","applicable_stages","applicability_conditions","normative_basis","exact_clause_or_section","confidence","can_be_reported_as_missing","recommended_severity","do_not_report_if","example_valid_missing_case","example_invalid_missing_case","current_norm_issues"
"AR-01","AR","Пояснительная записка к разделу АР","Mandatory required sections / artifacts","ПРОВЕРИТЬ_ПО_СМЕЖНЫМ","full_rd","missing_mandatory_section","ГОСТ Р 21.1101-2013, п. 4.2","conditionally_mandatory","full_rd","ПД","ПЗ к разделу АР обязательна на стадии ПД (раздел 3 ПП РФ 87). На стадии РД (отдельная марка АР-К3) — может отсутствовать как атрибут тома ПД.","ПП РФ №87, раздел 3 (для ПД); ГОСТ Р 21.101-2020 (для РД-комплектов)","ПП РФ 87 разд. III, ст. 13","high","true","ПРОВЕРИТЬ_ПО_СМЕЖНЫМ","document_type=audit_comparison — out-of-scope для documentation-completeness, флагать только формальные атрибуты; document_type=specification_only — спецификация по определению без расчётов/схем/ПЗ; не флагать; если стадия документа — РД-марка (а не ПД-том), пункт может быть атрибутом раздела ПД и в данной марке отсутствовать обоснованно","ПД-том АР целиком: ПЗ отсутствует → finding","РД-марка АР-К3 (отдельная книга): ПЗ может быть в верхнем томе → drop","ГОСТ Р 21.1101-2013 заменён на ГОСТ Р 21.101-2020 — обновить ссылку"
"AR-02","AR","Поэтажные планы с экспликацией помещений","Mandatory required sections / artifacts","ПРОВЕРИТЬ_ПО_СМЕЖНЫМ","full_rd","missing_mandatory_section","ГОСТ 21.501-2018, п. 5.3","mandatory","full_rd","ПД; РД","","ГОСТ 21.501-2018","п. 5.3, форма 7","high","true","ЭКСПЛУАТАЦИОННОЕ","document_type=audit_comparison — out-of-scope для documentation-completeness, флагать только формальные атрибуты; document_type=specification_only — спецификация по определению без расчётов/схем/ПЗ; не флагать","Том АР не содержит ни одного поэтажного плана","Документ — спецификация заполнения проёмов",""
"AR-03","AR","Разрезы здания (продольный и поперечный) с отметками","Mandatory required sections / artifacts","ПРОВЕРИТЬ_ПО_СМЕЖНЫМ","full_rd","missing_mandatory_section","ГОСТ 21.501-2018, п. 5.5","mandatory","full_rd","ПД; РД","","ГОСТ 21.501-2018","п. 5.5","high","true","ЭКСПЛУАТАЦИОННОЕ","document_type=audit_comparison — out-of-scope для documentation-completeness, флагать только формальные атрибуты; document_type=specification_only — спецификация по определению без расчётов/схем/ПЗ; не флагать","Том АР с этажными планами, но без разрезов","Документ — обмерный чертёж одного помещения",""
"AR-04","AR","Фасады с указанием отметок, материалов отделки и узлов","Mandatory required sections / artifacts","ПРОВЕРИТЬ_ПО_СМЕЖНЫМ","full_rd","missing_mandatory_section","ГОСТ 21.501-2018, п. 5.6","mandatory","full_rd","ПД; РД","","ГОСТ 21.501-2018","п. 5.6","high","true","ЭКСПЛУАТАЦИОННОЕ","document_type=audit_comparison — out-of-scope для documentation-completeness, флагать только формальные атрибуты; document_type=specification_only — спецификация по определению без расчётов/схем/ПЗ; не флагать","","",""
"AR-05","AR","Раздел ""Пожарная безопасность"" / огнестойкость","Mandatory required sections / artifacts","ПРОВЕРИТЬ_ПО_СМЕЖНЫМ","full_rd","missing_mandatory_section","ФЗ-123, СП 2.13130.2020","conditionally_mandatory","full_rd","ПД","Раздел ПБ — самостоятельный раздел ПД (раздел 9 ПП РФ 87). Не должен дублироваться целиком внутри АР. В АР достаточно ссылок на класс пожарной опасности и предел огнестойкости конструкций.","ПП РФ 87 раздел 9; ФЗ-123","ФЗ-123 ст. 87 (класс конструктивной пожарной опасности)","high","true","ПРОВЕРИТЬ_ПО_СМЕЖНЫМ","document_type=audit_comparison — out-of-scope для documentation-completeness, флагать только формальные атрибуты; в РД-марке АР раздел ПБ может быть в отдельном томе ПД","ПД-том АР без указания класса пожарной опасности → ПРОВЕРИТЬ_ПО_СМЕЖНЫМ","Флагать как «отсутствует раздел ПБ» в АР, когда ПБ — отдельный том",""
"AR-06","AR","Раздел ""Эвакуация"" — пути, ширина, протяжённость, выходы","Mandatory required sections / artifacts","ПРОВЕРИТЬ_ПО_СМЕЖНЫМ","full_rd","missing_mandatory_section","СП 1.13130.2020","conditionally_mandatory","full_rd","ПД","В АР даются эвакуационные пути и выходы на планах. Целиком раздел эвакуации входит в ПБ.","СП 1.13130.2020","разд. 4-6","high","true","КРИТИЧЕСКОЕ","document_type=audit_comparison — out-of-scope для documentation-completeness, флагать только формальные атрибуты","АР содержит планы, но без указания эвакуационных путей → КРИТИЧЕСКОЕ для МКД","",""
"AR-07","AR","Штамп с указанием стадии (П / Р) и нормоконтроль","Mandatory required sections / artifacts","ПРОВЕРИТЬ_ПО_СМЕЖНЫМ","full_rd","missing_mandatory_section","ГОСТ Р 21.1101-2013, п. 5","mandatory","full_rd; audit_comparison; tz_vs_rd; specification_only","ПД; РД; КМД","Применяется ко всем PDF-документам РД/ПД","ГОСТ Р 21.101-2020","разд. 5, формы 3/4/6","high","true","РЕКОМЕНДАТЕЛЬНОЕ","Если штамп явно присутствует — drop","Стадия в штампе не указана / штамп пустой","","ГОСТ Р 21.1101-2013 заменён на ГОСТ Р 21.101-2020 — обновить ссылку"
"AR-08","AR","Расчёт инсоляции жилых помещений","Mandatory required calculations","ЭКСПЛУАТАЦИОННОЕ","full_rd","missing_mandatory_parameter","СП 50.13330.2012, СанПиН 1.2.3685-21","conditionally_mandatory","full_rd","ПД","Только для жилых МКД. Не обязателен для общественных зданий, складов, апартаментов с временным проживанием. Проверить тип объекта.","СанПиН 1.2.3685-21 (раздел III); ранее СанПиН 2.2.1/2.1.1.1076-01","СанПиН 1.2.3685-21 п. 79 и табл. 5.34","medium","true","ЭКСПЛУАТАЦИОННОЕ","document_type=audit_comparison — out-of-scope для documentation-completeness, флагать только формальные атрибуты; нежилое назначение; не та стадия","ПД-том АР жилого МКД без расчёта инсоляции квартир","Расчёт инсоляции для офисного центра — не требуется","СП 50.13330.2012 → есть актуальная редакция 2024; пункт по инсоляции точнее искать в СанПиН 1.2.3685-21"
"AR-09","AR","ТЭП объекта (этажность, площади, строит. объём)","Mandatory required calculations","ЭКСПЛУАТАЦИОННОЕ","full_rd","missing_calculation_basis","ГОСТ Р 21.1101-2013, п. 4.2.2","mandatory","full_rd","ПД","ТЭП — атрибут раздела ПЗ ПД-тома, а не отдельной марки АР","ПП РФ 87 раздел 1 (ПЗ); ГОСТ Р 21.101-2020","","medium","true","ПРОВЕРИТЬ_ПО_СМЕЖНЫМ","document_type=audit_comparison — out-of-scope для documentation-completeness, флагать только формальные атрибуты; если стадия документа — РД-марка (а не ПД-том), пункт может быть атрибутом раздела ПД и в данной марке отсутствовать обоснованно","","РД-марка АР3 без ТЭП — ТЭП в томе ПЗ, не здесь","ГОСТ Р 21.1101-2013 заменён на ГОСТ Р 21.101-2020 — обновить ссылку"
"AR-10","AR","Спецификация заполнения оконных и дверных проёмов","Mandatory required specifications / schedules","ЭКСПЛУАТАЦИОННОЕ","full_rd|specification_only","missing_mandatory_schedule","ГОСТ 21.501-2018, п. 5.10","mandatory","full_rd; specification_only","РД","Применима к РД-тому или к Excel-выгрузке спецификации","ГОСТ 21.501-2018","п. 5.10, форма 7","high","true","ЭКСПЛУАТАЦИОННОЕ","document_type=audit_comparison — out-of-scope для documentation-completeness, флагать только формальные атрибуты","","",""
"AR-11","AR","Ведомость отделки помещений","Mandatory required specifications / schedules","ЭКСПЛУАТАЦИОННОЕ","full_rd|specification_only","missing_mandatory_schedule","ГОСТ 21.501-2018, п. 5.11","mandatory","full_rd; specification_only","РД","","ГОСТ 21.501-2018","п. 5.11","high","true","ЭКСПЛУАТАЦИОННОЕ","document_type=audit_comparison — out-of-scope для documentation-completeness, флагать только формальные атрибуты","","",""
"AR-12","AR","Экспликация помещений с привязкой к этажным планам","Mandatory required specifications / schedules","ЭКСПЛУАТАЦИОННОЕ","full_rd","missing_mandatory_schedule","ГОСТ 21.501-2018, п. 5.3","mandatory","full_rd","РД","","ГОСТ 21.501-2018","п. 5.3, форма 2","high","true","ЭКСПЛУАТАЦИОННОЕ","","","",""
"AR-13","AR","Характерные узлы (кровля, парапет, цоколь)","Mandatory required diagrams / schemes","ЭКСПЛУАТАЦИОННОЕ","full_rd","missing_diagram","ГОСТ 21.501-2018, п. 5.9","conditionally_mandatory","full_rd","РД","Обязательны для тех узлов, что фактически есть в проекте (если нет эксплуатируемой кровли — нет смысла требовать узлы кровли)","ГОСТ 21.501-2018","п. 5.9","medium","true","ЭКСПЛУАТАЦИОННОЕ","если в MD нет упоминания соответствующего оборудования — пункт неприменим","","",""
"AR-14","AR","Схема эвакуационных путей и выходов на планах","Mandatory required diagrams / schemes","ЭКСПЛУАТАЦИОННОЕ","full_rd","missing_diagram","СП 1.13130.2020","mandatory","full_rd","ПД; РД","","СП 1.13130.2020","разд. 4-6","high","true","КРИТИЧЕСКОЕ","","","",""
"AR-15","AR","Координация проходов / отверстий ОВ/ВК/ЭОМ","Mandatory coordination requirements (cross-discipline)","ПРОВЕРИТЬ_ПО_СМЕЖНЫМ","full_rd","missing_mandatory_section","ГОСТ 21.501-2018, п. 5.8","recommended","full_rd","РД","Coordination — process artifact, часто оформляется заданием смежнику в виде отдельного письма. Отсутствие его в самой марке АР не = нарушение нормы.","ГОСТ 21.501-2018 (рекомендация по координации)","","low","false","РЕКОМЕНДАТЕЛЬНОЕ","Coordination — это часто отдельный документ задания смежнику; флагать missing нельзя; можно флагать только при явном противоречии (отверстие на плане АР, но размер не указан)","","Флагать «отсутствует координация ОВ» как missing finding — координация может быть в письме-задании, которое мы не видим",""
"AR-16","AR","Координация с КЖ/КМ по закладным и опиранию","Mandatory coordination requirements (cross-discipline)","ПРОВЕРИТЬ_ПО_СМЕЖНЫМ","full_rd","missing_mandatory_section","ГОСТ 21.501-2018","recommended","full_rd","РД","То же — координация часто это задание смежнику","","","low","false","РЕКОМЕНДАТЕЛЬНОЕ","","","",""
"AR-17","AR","Указания по приёмке отделочных работ","Mandatory testing / commissioning requirements","РЕКОМЕНДАТЕЛЬНОЕ","full_rd","missing_mandatory_section","СП 71.13330.2017","recommended","full_rd","РД","Указания по приёмке часто выносятся в отдельный документ (ПОС/ППР). Их отсутствие в АР не = нарушение.","","","medium","false","РЕКОМЕНДАТЕЛЬНОЕ","","","",""
"AR-18","AR","Раздел отделки с привязкой к экспликации","Recommended items","РЕКОМЕНДАТЕЛЬНОЕ","full_rd|specification_only","incomplete_specification","ГОСТ 21.501-2018, п. 5.11","recommended","full_rd; specification_only","РД","","","","medium","true","РЕКОМЕНДАТЕЛЬНОЕ","","","",""
